Title,Name of Software Company,,GCU Contact,Date Submitted,Date of Launch,Date of Renewal
Igloo,"Igloo, Inc",151622.5,,2/21/20,2/21/20,2/21/20
Igloo File Manager,,,,2/22/22,11/29/22,
Image Credit,iStock,,,1/23/20,1/23/20,1/23/20
Imaging Systems,Analytical Technologies Group LLC,,,3/14/20,3/14/20,3/14/20
iMedRIS,iMedRIS Data Corporation,43104,,4/23/20,4/23/20,4/23/20
ImmediaCare,Immedia LLC,27700,Ryan Masterson,12/7/20,12/7/20,12/7/20
Immersive Reader,,,,6/19/19,11/29/22,
In Reach Sync,,,,8/6/19,8/6/19,8/6/19
InaPort,"InaPlex, Inc",,,11/23/20,11/23/20,11/23/20
Incident Response Consulting,Chu Solutions LLC,3500,,11/6/19,11/6/19,11/6/19
InDesign,Software One Inc,101.25,InDesign,12/10/20,12/10/20,12/10/20
Ingenius,Ingeniux Corporation,20000,,4/13/20,4/13/20,4/13/20
Inkscape,,,,8/2/21,11/29/22,
Innosoft Fusion,Innosoft Canada Inc,,,7/31/20,7/31/20,7/31/20
Innosoft FusionGO App,InnoSoft Canada Inc,,Jessica Defoy,4/2/20,4/2/20,4/2/20
Insight SAP,Insigh Public Sector,28830.35,Insight SAP,11/10/20,11/10/20,11/10/20
Insignia NS - PU 96203,,,,8/6/19,11/29/22,
Insta360 Stitcher,,,,11/3/22,11/29/22,
Inswan,,,,8/21/20,8/21/20,8/21/20
Intel Quartus Prime,,,,5/10/22,11/29/22,
IntelliJ IDEA,,,,11/24/21,11/29/22,
Inventory Logistics,Management One Ltd,,,7/8/20,7/8/20,7/8/20
Ipay,,,,1/3/20,1/1/20,1/1/20
IPEVO Presenter,,,,8/6/19,11/29/22,
iPrintAndScan,,,,6/9/22,11/28/22,
Irise Reader,,,,8/6/19,11/29/22,
i-Sight Case Management,Customer Expressions Corp,15000,,7/8/20,7/8/20,7/8/20
IssueTrak,IssueTrak Inc,,,2/24/20,2/24/20,2/24/20
IssueTrak,,,,2/6/20,1/1/20,1/1/20
IT Consulting,Ashworth Consulting LLC,,,4/9/20,4/9/20,4/9/20
iTunes,,,,2/7/20,1/1/20,1/1/20
Itunes(IOS Users),,,,8/6/19,8/6/19,8/6/19
IWMS,RSP Architects LTS,5762,Elizabeth Guerrero,3/20/20,3/20/20,3/20/20
JAMF,JAMF Software LLC,,,8/6/20,8/6/20,8/6/20
Java JDK 16,,,,5/20/21,11/29/22,
JES,,,,8/6/19,11/29/22,
JetBrains,JetBrains Americas Inc,,,2/13/20,2/13/20,2/13/20
Jing,,,,8/6/19,11/29/22,
JIRA,JIRA,,,10/6/20,10/6/20,10/6/20
JMP,,,,8/6/19,8/6/19,8/6/19
Jtech Commander Echo Downloader,,,,8/6/19,8/6/19,8/6/19
Judial Educator,Reslife.Net LTD,,,7/23/20,7/23/20,7/23/20
Jumpshare.app,,,,1/20/21,11/29/22,
Jython,,,,8/6/19,11/29/22,
K40Whisperer,,,,8/2/21,11/29/22,
Kahoot.IT,Kahoot!,,,5/14/20,5/14/20,5/14/20
Key Systems GFMS V 3.0,,,,3/23/22,11/29/22,
Keyence VHX-7000_970F_COMMSOFT_1_4_23_17_0,,,,5/6/21,11/29/22,
Keylogging software,,,,8/6/19,11/29/22,
Kurzweil,,,,8/6/19,8/6/19,8/6/19
KwikTag,"ImageTag, Inc",23690,,2/24/20,2/24/20,2/24/20
LabChart Support,,,,2/18/20,11/29/22,
Labsoft,,,,8/6/19,8/6/19,8/6/19
LabView,National Instruments,5980,,11/9/20,11/9/20,11/9/20
